Front;Back
"[K10] Temperaturabhängigkeit des spezifischen Widerstands bei Metallen?";"\\(\varrho(T)=\varrho_0(1+\alpha T)\\), \\(\alpha>0\\) – Widerstand STEIGT mit \\(T\\)"
"[K10] Temperaturabhängigkeit des spezifischen Widerstands bei Halbleitern?";"\\(\varrho(T)\propto e^{+E_g/(2k_BT)}\\) – Widerstand SINKT mit \\(T\\)"
"[K10 – Verständnis] Warum steigt bei Metallen \\(\varrho\\) mit \\(T\\), bei Halbleitern sinkt es?";"Metalle: \\(n\\) konstant, mehr Gitterschwingungen → mehr Streuung. Halbleiter: \\(n(T)\\) steigt exponentiell (mehr Ladungsträger), dominiert über die (schwächer wachsende) Streuung."
"[K10] Formel für die Ladungsträgerdichte im intrinsischen Halbleiter?";"\\(n(T)\propto e^{-E_g/(2k_BT)}\\)"
"[K10 – Intuition] Stockwerk-Analogie zum Bändermodell?";"Erlaubte Energiebänder = Stockwerke, Bandlücken = gesperrte Zwischengeschosse; Strom nur möglich, wenn ein Band NICHT vollständig gefüllt ist (Platz zum 'Weiterrücken')."
"[K10] Was besagt das Wiedemann-Franz-Gesetz für Metalle?";"\\(\lambda/\sigma=aT\\) – Wärme- und elektrische Leitfähigkeit sind gekoppelt, da beide von denselben freien Elektronen getragen werden."
"[K10 – Vergleich] Widerstandsverhalten: Metall vs. Halbleiter vs. Supraleiter bei steigender Temperatur?";"Metall: \\(R\\) steigt.<br>Halbleiter: \\(R\\) sinkt.<br>Supraleiter: \\(R=0\\) unterhalb \\(T_c\\), oberhalb normales Verhalten."
"[K10 – Fehler] Typischer Fehler: Bandlücke \\(E_g\\) wird verwechselt mit...";"...der thermischen Energie \\(k_BT\\) – unterschiedliche Größenordnungen (\\(E_g\sim1\,\text{eV}\\) vs. \\(k_BT\approx0{,}026\,\text{eV}\\) bei Raumtemperatur)."
"[K10 – Anwendung] Wie klassifiziert man ein Material anhand einer gegebenen \\(R(T)\\)-Kurve?";"\\(dR/dT>0\\) → Metall; \\(dR/dT<0\\) → Halbleiter/Isolator; \\(R=0\\) unterhalb \\(T_c\\) → Supraleiter."
"[K11] Formel für die Lorentzkraft?";"\\(\vec F_L=q\vec v\times\vec B\\)"
"[K11 – Eigenschaft] Warum verrichtet die Lorentzkraft NIE Arbeit?";"\\(\vec F_L\cdot\vec v=q(\vec v\times\vec B)\cdot\vec v=0\\) (Spatprodukt mit wiederholtem Vektor ist immer 0) – \\(\vec F_L\perp\vec v\\) stets."
"[K11] Formel für den Bahnradius im homogenen B-Feld (\\(\vec v\perp\vec B\\))?";"\\(r=\dfrac{mv}{|q|B}\\)"
"[K11] Formel für die Zyklotronfrequenz?";"\\(\omega=\dfrac{|q|B}{m}\\) – unabhängig von \\(v\\)!"
"[K11 – Beweis] Kernidee des Beweises der Kreisbahnformel?";"Gleichsetzen von Lorentzkraft \\(qvB\\) und Zentripetalkraft \\(mv^2/r\\): \\(qvB=mv^2/r\Rightarrow r=mv/(qB)\\)."
"[K11 – Verständnis] Warum ist die Zyklotronfrequenz geschwindigkeitsunabhängig?";"\\(\omega=v/r\\) mit \\(r\propto v\\) → \\(v\\) kürzt sich heraus. Grundlage des Zyklotrons: alle Teilchen brauchen dieselbe Zeit pro Umlauf, unabhängig von ihrer Energie."
"[K11] Formel für die Hall-Spannung?";"\\(U_H=\dfrac{IB}{nqd}\\)"
"[K11 – Beweis] Kernidee des Beweises der Hall-Spannungsformel?";"Kräftegleichgewicht quer zum Strom: Lorentzkraft \\(qv_{Drift}B\\) = elektrische Kraft \\(qE_H\\) des sich aufbauenden Querfeldes; \\(U_H=E_H\cdot d\\) mit \\(v_{Drift}=I/(nqA)\\) einsetzen."
"[K11] Definition des magnetischen Dipolmoments einer Stromschleife?";"\\(\vec\mu:=IA\hat n\\)"
"[K11] Drehmoment auf eine Stromschleife im B-Feld?";"\\(\vec M=\vec\mu\times\vec B\\)"
"[K11 – Vergleich] Elektrischer Dipol vs. magnetischer Dipol – Formelstruktur?";"Elektrisch: \\(\vec p=Q\vec d\\), \\(\vec M=\vec p\times\vec E\\), \\(E_{pot}=-\vec p\cdot\vec E\\).<br>Magnetisch: \\(\vec\mu=IA\hat n\\), \\(\vec M=\vec\mu\times\vec B\\), \\(E_{pot}=-\vec\mu\cdot\vec B\\) – identische Struktur!"
"[K11 – Fehler] Was passiert mit der Lorentzkraft, wenn \\(\vec v\parallel\vec B\\)?";"\\(\vec F_L=0\\) (Kreuzprodukt paralleler Vektoren ist 0) – häufiger 'Fallstrick' in Klausuraufgaben."
"[K11 – Algorithmus] Wie behandelt man die Bewegung eines geladenen Teilchens bei beliebigem Winkel zwischen \\(\vec v\\) und \\(\vec B\\)?";"Zerlegung von \\(\vec v\\) in Parallel- und Senkrechtkomponente zu \\(\vec B\\): Parallelkomponente unverändert, Senkrechtkomponente erzeugt Kreisbewegung → Überlagerung = Schraubenbahn (Helix)."
"[K11 – Anwendung] Wie funktioniert ein Massenspektrometer (Grundprinzip)?";"Ionen gleicher Ladung/Geschwindigkeit werden im \\(B\\)-Feld auf Kreisbahnen mit \\(r\propto m\\) getrennt – schwerere Ionen haben größeren Radius."
"[K12] Biot-Savart-Gesetz?";"\\(d\vec B=\dfrac{\mu_0}{4\pi}\dfrac{I\,d\vec\ell\times\hat r}{r^2}\\)"
"[K12] 2. Maxwell-Gleichung (Formel)?";"\\(\operatorname{div}\vec B=0\\)"
"[K12 – Verständnis] Was bedeutet \\(\operatorname{div}\vec B=0\\) physikalisch?";"Es gibt keine magnetischen Monopole – \\(\vec B\\)-Feldlinien sind stets geschlossen (kein Anfang, kein Ende)."
"[K12] Ampère'sches Gesetz?";"\\(\oint_C\vec B\cdot d\vec s=\mu_0I_{umschlossen}\\)"
"[K12] Formel für das Magnetfeld eines geraden, unendlich langen Leiters?";"\\(B(r)=\dfrac{\mu_0I}{2\pi r}\\)"
"[K12 – Beweis] Kernidee der Herleitung von \\(B(r)=\mu_0I/(2\pi r)\\)?";"Direkte Integration von Biot-Savart über den unendlichen Draht mit Substitution \\(z=r\tan\phi\\), liefert \\(B=\mu_0I/(4\pi r)\cdot2=\mu_0I/(2\pi r)\\)."
"[K12 – Beweis] Kernidee des Beweises des Ampère'schen Gesetzes?";"Für geraden Leiter mit Kreis als Integrationsweg: \\(B(r)\cdot2\pi r=\mu_0I\\) (analog zu Gauß'schem Gesetz, mit Umschlingungswinkel statt Raumwinkel für Verallgemeinerung)."
"[K12] Formel für das Magnetfeld im Inneren einer langen Spule?";"\\(B=\mu_0nI\\), \\(n=N/\ell\\) (Windungsdichte)"
"[K12 – Beweis] Kernidee der Herleitung von \\(B=\mu_0nI\\) für die Spule?";"Ampère'sches Gesetz mit rechteckigem Integrationsweg (eine Seite innen, eine weit außen wo \\(B\approx0\\)); \\(B\cdot L=\mu_0nLI\\)."
"[K12] Formel für die Kraft zwischen zwei parallelen, stromdurchflossenen Leitern (pro Länge)?";"\\(F/\ell=\dfrac{\mu_0I_1I_2}{2\pi d}\\)"
"[K12] Definition der Magnetisierung und der magnetischen Feldstärke \\(\vec H\\)?";"\\(\vec M:=\tfrac1V\sum\vec\mu_i\\), \\(\vec H:=\vec B/\mu_0-\vec M\\)"
"[K12 – Vergleich] Dia-, Para-, Ferromagnetismus – Kernunterschied?";"Diamagnetisch: \\(\chi_m<0\\), induzierte Gegenmomente. Paramagnetisch: \\(\chi_m>0\\) klein, permanente Momente richten sich aus. Ferromagnetisch: \\(\chi_m\gg1\\), kollektive Ausrichtung in Domänen."
"[K12 – Fehler] Häufigster Fehler beim Ampère'schen Gesetz?";"Falsche Anwendung der Rechte-Hand-Regel zwischen Umlaufsinn des Integrationswegs und Vorzeichen von \\(I_{umschlossen}\\)."
"[K12 – Anwendung] Wann ist Ampère'sches Gesetz nützlich (Symmetrievoraussetzung)?";"Bei hoher Symmetrie: gerader Draht (Zylindersymmetrie), lange Spule/Toroid – analog zu Gauß'schem Gesetz in der Elektrostatik."
"[K12 – Transfer] Welches Gesetz aus Kapitel 7 ist strukturell identisch zum Ampère'schen Gesetz?";"Das Gauß'sche Gesetz – beide sind Integralformen 'Fluss/Zirkulation = eingeschlossene Quelle', nützlich bei Symmetrie."
"[K13] Faraday'sches Induktionsgesetz?";"\\(U_{ind}=-\dfrac{d\Phi_B}{dt}\\)"
"[K13] Was besagt die Lenz'sche Regel?";"Der induzierte Strom fließt so, dass er seiner Ursache entgegenwirkt (im Minuszeichen der Formel enthalten)."
"[K13] Definition der Selbstinduktivität?";"\\(L:=\Phi_B/I\\), Einheit H (Henry)"
"[K13] Formel für \\(I(t)\\) beim Einschalten einer Spannung an einen RL-Kreis?";"\\(I(t)=\dfrac{U_0}{R}(1-e^{-t/\tau})\\), \\(\tau=L/R\\)"
"[K13 – Beweis] Kernidee der Herleitung von \\(I(t)\\) im RL-Kreis?";"Maschenregel \\(U_0=IR+L\,dI/dt\\) → lineare DGL 1. Ordnung, Lösung = partikuläre Lösung (\\(U_0/R\\)) + homogene Lösung (\\(Ce^{-Rt/L}\\)), Anfangsbedingung \\(I(0)=0\\) einsetzen."
"[K13 – Vergleich] RC- vs. RL-Aufladung – was ist analog, was unterschiedlich?";"Beide: \\(\tau\\) als Zeitkonstante, exponentielles Verhalten.<br>RC: \\(\tau=RC\\), verhindert Sprünge in \\(U_C\\).<br>RL: \\(\tau=L/R\\), verhindert Sprünge in \\(I\\)."
"[K13 – Fehler] Häufigster Fehler bei Induktionsaufgaben?";"Nur EINEN der drei möglichen zeitabhängigen Faktoren (\\(B\\), \\(A\\), Winkel) in \\(\Phi_B(t)\\) berücksichtigen, obwohl mehrere gleichzeitig variieren."
"[K13 – Fehler] Was passiert bei Vorzeichenfehlern in \\(U_{ind}=-d\Phi_B/dt\\)?";"Falsche Richtung des induzierten Stroms – Verletzung der Lenz'schen Regel und damit der Energieerhaltung."
"[K13 – Anwendung] Wie entsteht sinusförmige Wechselspannung aus einer rotierenden Leiterschleife?";"\\(\Phi_B(t)=BA\cos(\omega t)\\) → \\(U_{ind}=BA\omega\sin(\omega t)\\) – Grundprinzip des Generators."
"[K13 – Gegenbeispiel] Wann ist \\(U_{ind}=0\\), obwohl sich die Schleife bewegt?";"Wenn sich der Fluss \\(\Phi_B\\) dabei NICHT ändert, z. B. Rotation um eine Achse parallel zu \\(\vec B\\) (Winkel zwischen \\(\vec B\\) und Flächennormale bleibt konstant \\(90°\\))."
"[K13 – Transfer] Welches Maxwell-Gleichungs-Nummer ist das Faraday'sche Induktionsgesetz?";"Die 3. Maxwell-Gleichung."
"[K14] Definition der Impedanz?";"\\(\underline Z:=\underline U/\underline I\\)"
"[K14] Impedanz eines ohmschen Widerstands?";"\\(\underline Z_R=R\\)"
"[K14] Impedanz eines Kondensators?";"\\(\underline Z_C=\dfrac{1}{i\omega C}\\)"
"[K14] Impedanz einer Spule?";"\\(\underline Z_L=i\omega L\\)"
"[K14 – Beweis] Kernidee der Herleitung von \\(Z_C=1/(i\omega C)\\)?";"Aus \\(I=C\,dU/dt\\) mit Ansatz \\(U=\hat Ue^{i\omega t}\\): \\(I=i\omega C\hat Ue^{i\omega t}\\), also \\(Z_C=U/I=1/(i\omega C)\\)."
"[K14 – Beweis] Kernidee der Herleitung von \\(Z_L=i\omega L\\)?";"Aus \\(U=L\,dI/dt\\) mit Ansatz \\(I=\hat Ie^{i\omega t}\\): \\(U=i\omega L\hat Ie^{i\omega t}\\), also \\(Z_L=i\omega L\\)."
"[K14] Formel für den Betrag der Impedanz einer RLC-Reihenschaltung?";"\\(|\underline Z|=\sqrt{R^2+(X_L-X_C)^2}\\)"
"[K14] Formel für die Resonanzfrequenz eines RLC-Serienschwingkreises?";"\\(\omega_0=1/\sqrt{LC}\\)"
"[K14 – Verständnis] Warum wird bei Resonanz \\(|\underline Z|\\) minimal (=R)?";"Bei \\(\omega=\omega_0\\) gilt \\(X_L=X_C\\), die imaginären Anteile heben sich in \\(i(X_L-X_C)\\) auf."
"[K14 – Vergleich] Verhalten von Kondensator und Spule bei niedriger vs. hoher Frequenz?";"Kondensator: bei \\(\omega\to0\\) sperrt er (\\(Z_C\to\infty\\)), bei hoher \\(\omega\\) leitet er gut.<br>Spule: bei \\(\omega\to0\\) Kurzschluss (\\(Z_L\to0\\)), bei hoher \\(\omega\\) blockiert sie."
"[K14 – Fehler] Typischer Fehler bei gemischten RLC-Netzwerken?";"Beträge der Einzelimpedanzen werden direkt addiert statt komplex zu rechnen – nur bei reinen Reihen-/Parallelschaltungen gleichartiger Elemente ohne Phasenverschiebung zulässig."
"[K14 – Anwendung] Wie prüft man die Plausibilität einer Impedanzformel?";"Grenzfälle \\(\omega\to0\\) (muss Gleichstromfall aus Kapitel 9 reproduzieren) und \\(\omega\to\infty\\) checken."
"[K14 – Transfer] Gelten Kirchhoff'sche Regeln auch für komplexe Wechselstromgrößen?";"Ja, unverändert (Satz 14.3) – Ersatzimpedanzen addieren sich nach denselben Regeln wie Ersatzwiderstände, nur komplex."
"[K15] Definition des Verschiebungsstroms?";"\\(\vec j_{Vers}:=\varepsilon_0\dfrac{\partial\vec E}{\partial t}\\)"
"[K15 – Verständnis] Warum musste Maxwell die Ampère-Gleichung um den Verschiebungsstrom ergänzen?";"Um die Gleichungen zu symmetrisieren: Faraday zeigt, dass ein sich änderndes \\(B\\)-Feld ein \\(E\\)-Feld erzeugt; Maxwell postulierte die Umkehrung (änderndes \\(E\\)-Feld erzeugt \\(B\\)-Feld)."
"[K15] Vollständige Ampère-Maxwell-Gleichung (differentiell)?";"\\(\operatorname{rot}\vec B=\mu_0\vec j+\mu_0\varepsilon_0\dfrac{\partial\vec E}{\partial t}\\)"
"[K15] Wellengleichung für \\(\vec E\\) im Vakuum?";"\\(\Delta\vec E=\mu_0\varepsilon_0\dfrac{\partial^2\vec E}{\partial t^2}\\)"
"[K15 – Beweis] Kernidee der Herleitung der Wellengleichung aus den Maxwell-Gleichungen?";"\\(\operatorname{rot}\\) auf Faraday-Gleichung anwenden, Ampère-Maxwell-Gleichung einsetzen, Vektoridentität \\(\operatorname{rot}\operatorname{rot}\vec E=\nabla(\operatorname{div}\vec E)-\Delta\vec E\\) nutzen, \\(\operatorname{div}\vec E=0\\) (ladungsfrei) einsetzen."
"[K15] Formel für die Lichtgeschwindigkeit aus den Feldkonstanten?";"\\(c=1/\sqrt{\mu_0\varepsilon_0}\\)"
"[K15 – Verständnis] Warum war \\(c=1/\sqrt{\mu_0\varepsilon_0}\\) Maxwells zentrales Argument für 'Licht ist eine EM-Welle'?";"Der berechnete Wert stimmte exakt mit der unabhängig gemessenen Lichtgeschwindigkeit überein – zu auffällig, um Zufall zu sein."
"[K15] Eigenschaften einer ebenen EM-Welle (Orientierung der Felder)?";"\\(\vec E\perp\vec B\perp\vec k\\) (transversal), \\(|\vec B|=|\vec E|/c\\)"
"[K15] Dispersionsrelation für EM-Wellen im Vakuum?";"\\(\omega=ck\\)"
"[K15] Definition des Poynting-Vektors?";"\\(\vec S=\vec E\times\vec H\\) – Energieflussdichte"
"[K15 – Fehler] Warum kann eine LONGITUDINALE EM-Welle im Vakuum nicht existieren?";"\\(\operatorname{div}\vec E=0\\) (ladungsfrei) erzwingt \\(\vec k\cdot\vec E_0=0\\), also \\(\vec E\perp\vec k\\) – Transversalität ist zwingend."
"[K15 – Anwendung] Wie berechnet man \\(B_0\\) aus gegebenem \\(E_0\\) einer EM-Welle?";"\\(B_0=E_0/c\\)"
"[K15 – Gegenbeispiel] Warum gilt die einfache Wellengleichung NICHT unverändert in einem Leiter?";"Der Ohm'sche Strom \\(\vec j=\sigma\vec E\\) muss berücksichtigt werden, was zu Dämpfung (Skin-Effekt) statt ungedämpfter Ausbreitung führt."
"[K15 – Transfer] Welches Kapitel liefert die historische/physikalische Motivation für die spezielle Relativitätstheorie (Kapitel 16)?";"Kapitel 15 – die Konstanz von \\(c\\) unabhängig vom Bezugssystem widerspricht der klassischen Galilei-Addition von Geschwindigkeiten."
"[K16] Definition des Lorentz-Faktors?";"\\(\gamma:=\dfrac{1}{\sqrt{1-v^2/c^2}}\geq1\\)"
"[K16] Lorentz-Transformation (Boost entlang x)?";"\\(x'=\gamma(x-vt)\\), \\(t'=\gamma(t-vx/c^2)\\), \\(y'=y\\), \\(z'=z\\)"
"[K16] Formel für die Zeitdilatation?";"\\(\Delta t_{Beobachter}=\gamma\,\Delta\tau\\) (\\(\tau\\): Eigenzeit)"
"[K16] Formel für die Längenkontraktion (Lorentzkontraktion)?";"\\(L'=L/\gamma\\) (\\(L\\): Eigenlänge)"
"[K16] Formel für das invariante Raumzeit-Intervall?";"\\(s^2=(ct)^2-x^2=(ct')^2-x'^2\\)"
"[K16 – Beweis] Kernidee des Beweises der Invarianz von \\(s^2\\)?";"Lorentz-Transformation in \\((ct')^2-x'^2\\) einsetzen, ausmultiplizieren, \\(\gamma^2(1-v^2/c^2)=1\\) ausnutzen → Ergebnis reduziert sich exakt auf \\(c^2t^2-x^2\\)."
"[K16 – Verständnis] Wie löst sich das Zwillingsparadoxon auf?";"Die Situation ist NICHT symmetrisch: nur der reisende Zwilling beschleunigt beim Umkehren und wechselt damit das Inertialsystem – eindeutiges Ergebnis (reisender Zwilling jünger)."
"[K16 – Anwendung] Myonenparadoxon – Erklärung aus Sicht des Erdbeobachters?";"Zeitdilatation: Myon-Lebensdauer erscheint verlängert (\\(\Delta t_{Erde}=\gamma\tau\)), zurückgelegte Strecke reicht bis zum Boden."
"[K16 – Anwendung] Myonenparadoxon – Erklärung aus Sicht des Myons selbst?";"Längenkontraktion: Die Atmosphäre erscheint auf \\(L'=L/\gamma\\) verkürzt (statt 10 km nur ca. 200 m) – das Myon erreicht den Boden trotz kurzer Eigenlebensdauer."
"[K16 – Vergleich] Zeitdilatation vs. Längenkontraktion – wie hängen sie beim Myonenparadoxon zusammen?";"Zwei äquivalente Beschreibungen DESSELBEN physikalischen Ergebnisses aus unterschiedlichen Bezugssystemen – keine zwei unabhängigen Effekte."
"[K16 – Fehler] Typischer Fehler bei Zeitdilatation?";"Verwechslung, welche Zeit die 'Eigenzeit' \\(\tau\\) ist (die im mitbewegten System gemessene, IMMER die kürzere) – \\(\Delta t_{Beobachter}\geq\Delta\tau\\), nie umgekehrt."
